video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,publishTime
VwrfMExQ-qs,2020-09-17T01:25:42Z,UCw4-ZjBLZxy1rFqvg9vQBLg,GOJEK CEPAT GACOR tanpa melipir jauh jauh,"GOJEK CEPAT GACOR tanpa melipir jauh jauh,gojek gagu orderan,gojek gagu 2019,gojek gagu 2018,akun gojek gagu,akun gojek gagu parah,cara nuyul ...",https://i.ytimg.com/vi/VwrfMExQ-qs/default.jpg,120,90,https://i.ytimg.com/vi/VwrfMExQ-qs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/VwrfMExQ-qs/hqdefault.jpg,480,360,ZT CROWN,none,2020-09-17T01:25:42Z
GRqp0lraB00,2020-11-04T16:12:27Z,UCPhWauyGmombVZb5VRp4wLA,Gojek Berikan Apresiasi Mitra di Hari Jadinya Ke-10,"Hi Tribunners Di hari jadinya yang ke - 10, Gojek akan memberikan apresiasi untuk para mitranya, mau tahu gimana keseruannya? Yuk saksikan program ...",https://i.ytimg.com/vi/GRqp0lraB00/default.jpg,120,90,https://i.ytimg.com/vi/GRqp0lraB00/mqdefault.jpg,320,180,https://i.ytimg.com/vi/GRqp0lraB00/hqdefault.jpg,480,360,TribunJabar Video,none,2020-11-04T16:12:27Z
4EYrMHSrKg8,2020-10-19T15:17:03Z,UCG1N93gug3i7JbjE_yj2bFA,Cara daftar gojek || pendaftaran baru driver gopartner || gojek gacor,Cara daftar gojek || pendaftaran baru driver gopartner || gojek gacor halo gaess balik lagi bersama chennel glen lemon cara daftar gojek online cara daftar gojek ...,https://i.ytimg.com/vi/4EYrMHSrKg8/default.jpg,120,90,https://i.ytimg.com/vi/4EYrMHSrKg8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4EYrMHSrKg8/hqdefault.jpg,480,360,GLEN LEMON,none,2020-10-19T15:17:03Z
3PmGKmgwsZM,2019-12-20T10:33:33Z,UCuSRk23O6eM0l69oXkUAlzQ,🔴 CARA SETTING AKUN GOJEK BIAR GACOR 💯%,Untuk para rekan2 driver gojek mungkin cara setting seperti ini sangat rekomendasi utuk kalian coba. Semoga bermanfaat amin. naik versi ganti OTP ...,https://i.ytimg.com/vi/3PmGKmgwsZM/default.jpg,120,90,https://i.ytimg.com/vi/3PmGKmgwsZM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3PmGKmgwsZM/hqdefault.jpg,480,360,Keren tv,none,2019-12-20T10:33:33Z
W-EqBwtgUvc,2020-09-28T17:15:01Z,UCqOcovSB1yJc0dNvVc8zyfw,GOJEK GACOR | Tutorial cara refresh akun goparner terbaru 2020,"Hey guys.. Cara ini memang tidak langsung membuat akun kalian langsung gacor, perlu di ingat bahwa hal paling utama untuk membuat akun gacor adalah ...",https://i.ytimg.com/vi/W-EqBwtgUvc/default.jpg,120,90,https://i.ytimg.com/vi/W-EqBwtgUvc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/W-EqBwtgUvc/hqdefault.jpg,480,360,Hey Project,none,2020-09-28T17:15:01Z
HjbrRIySB2I,2018-10-03T06:19:28Z,UCBjyytWm3Je_cCFRojlYoow,Gojek Vlog Episode 004 | kalian nolak ga klo di bayar di Dalem ?  🤔 🤔,Gojek Vlog Episode 004 | kalian nolak ga klo di bayar di Dalem ? 🤔 🤔 customer banyak macam nya. kira-kira kalian nolak ga klo bayar nya di dalem ...,https://i.ytimg.com/vi/HjbrRIySB2I/default.jpg,120,90,https://i.ytimg.com/vi/HjbrRIySB2I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HjbrRIySB2I/hqdefault.jpg,480,360,X RADAR,none,2018-10-03T06:19:28Z
So34re4j-rs,2020-10-21T10:47:22Z,UCG1N93gug3i7JbjE_yj2bFA,Tips gopartner gacor || gojek gacor,"Tips gopartner gacor || gojek gacor balik lagi ke channel gue glen lemon ,penipuan gojek,vermuk gojek,cara pesen makanan lewat gojek,paylater gojek,cara ...",https://i.ytimg.com/vi/So34re4j-rs/default.jpg,120,90,https://i.ytimg.com/vi/So34re4j-rs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/So34re4j-rs/hqdefault.jpg,480,360,GLEN LEMON,none,2020-10-21T10:47:22Z
kGnhlhQ4W7Y,2020-11-01T09:44:10Z,UC3jKI9EUIGMzE69T2qLMT9Q,IKLAN GOJEK INDONESIA - &quot;AMAN HARUS LEBAY&quot; 15s (2020),,https://i.ytimg.com/vi/kGnhlhQ4W7Y/default.jpg,120,90,https://i.ytimg.com/vi/kGnhlhQ4W7Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kGnhlhQ4W7Y/hqdefault.jpg,480,360,IKLAN TVCoMM - Museum Iklan TV Indonesia,none,2020-11-01T09:44:10Z
2LgOxYROe4I,2020-05-22T09:56:39Z,UC7WEY3eWwxxuWCZsQi-4LDw,GOJEK DIHINA MISKIN TERNYATA SEORANG - SHORTMOVIE - ( Film Pendek ) Kisah Inspiratif - IR PRODUCTION,"kisah ini berawal dari seorang dokter yg tidak sombong dan ingin mencari pasangan dengan tidak melihat materi , sampai suatu saat nya tiba dia berpura pura ...",https://i.ytimg.com/vi/2LgOxYROe4I/default.jpg,120,90,https://i.ytimg.com/vi/2LgOxYROe4I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2LgOxYROe4I/hqdefault.jpg,480,360,IR PROD,none,2020-05-22T09:56:39Z
eULVbPY6Sc8,2020-02-20T09:14:34Z,UCOPi-sQRFfJT4sI6ZX4Qw3A,GOJEK !! OJEK ONLINE NGEPRANK DI CLASH SQUAD GARA GARA DI CANCEL !!! FREE FIRE,Download : - Video Buddy ( Penghasil Diamond ) : http://sg-api.videobuddy.vid007.com/su/_pYX-PPI - Skin GOJEK : https://semawur.com/rIqEU ...,https://i.ytimg.com/vi/eULVbPY6Sc8/default.jpg,120,90,https://i.ytimg.com/vi/eULVbPY6Sc8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/eULVbPY6Sc8/hqdefault.jpg,480,360,RizkiA Pro,none,2020-02-20T09:14:34Z
NAPJMprdSu0,2020-05-29T08:49:55Z,UCiqF5QNdHw5IYPStn1zSh9w,CARA MASUK AKUN GOJEK DARI HP LAIN,Cara masuk akun gojek dari hp lain #caramasukakunhojekdarihplain #caramasukdihplain #akungojek.,https://i.ytimg.com/vi/NAPJMprdSu0/default.jpg,120,90,https://i.ytimg.com/vi/NAPJMprdSu0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/NAPJMprdSu0/hqdefault.jpg,480,360,DotsQi Tutorial,none,2020-05-29T08:49:55Z
HW-PyoAZRGw,2020-07-06T10:20:07Z,UCmlKSK0OKn_B3oPwElW4n5w,J3K: Agar Nyaman dalam perjalanan pake Gojek,"J3K adalah upaya #GoJ3K dalam menjaga kesehatan, kebersihan, keamanan kamu dan seluruh mitra demi memastikan keamanan & kenyamanan kamu di ...",https://i.ytimg.com/vi/HW-PyoAZRGw/default.jpg,120,90,https://i.ytimg.com/vi/HW-PyoAZRGw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HW-PyoAZRGw/hqdefault.jpg,480,360,Gojek Indonesia,none,2020-07-06T10:20:07Z
98JcVlYWshs,2019-01-31T08:46:34Z,UCmlKSK0OKn_B3oPwElW4n5w,Lanjutan Video Viral Ringgo jadi Driver GOJEK...,Yang kamu liat waktu itu gak salah kok! Ringgo Agus emang jadi Driver GOJEK lho... Ini dia reaksi & pengalamannya! #GOJEKinAbah.,https://i.ytimg.com/vi/98JcVlYWshs/default.jpg,120,90,https://i.ytimg.com/vi/98JcVlYWshs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/98JcVlYWshs/hqdefault.jpg,480,360,Gojek Indonesia,none,2019-01-31T08:46:34Z
